period,theme,count,proportion
初唐,自然,425,0.20741825280624696
初唐,政治,358,0.17471937530502685
初唐,友情,282,0.1376281112737921
初唐,隐逸,192,0.09370424597364568
初唐,怀古,149,0.07271839921913129
初唐,爱情,135,0.06588579795021962
初唐,边塞,125,0.061005368472425575
初唐,社会现实,101,0.049292337725719865
初唐,咏史,96,0.04685212298682284
初唐,咏物,95,0.04636408003904344
初唐,游仙,64,0.031234748657881894
初唐,哲理,27,0.013177159590043924
盛唐,友情,1968,0.3326009802264661
盛唐,自然,873,0.14754098360655737
盛唐,隐逸,869,0.14686496535406457
盛唐,社会现实,496,0.08382626330910935
盛唐,怀古,411,0.06946087544363698
盛唐,边塞,306,0.051715396315700525
盛唐,政治,280,0.04732127767449721
盛唐,爱情,274,0.04630725029575799
盛唐,咏物,143,0.02416765252661822
盛唐,游仙,106,0.01791448369105966
盛唐,咏史,99,0.01673145174919723
盛唐,哲理,92,0.015548419807334799
中唐,友情,2729,0.2638499468239389
中唐,自然,1802,0.17422411292661705
中唐,隐逸,1518,0.14676592864739438
中唐,社会现实,995,0.09620032872474137
中唐,怀古,710,0.06864546069805666
中唐,爱情,552,0.0533694285990525
中唐,政治,453,0.04379773760030939
中唐,咏物,450,0.043507686357923236
中唐,哲理,419,0.040510490186599635
中唐,咏史,286,0.027651551774146767
中唐,边塞,263,0.02542782558251958
中唐,游仙,166,0.01604950207870057
晚唐,友情,1371,0.20502467474203678
晚唐,隐逸,1317,0.19694930462090623
晚唐,自然,1144,0.17107821145506205
晚唐,社会现实,619,0.09256766861073726
晚唐,怀古,517,0.07731419171526843
晚唐,咏物,401,0.059967100343950946
晚唐,爱情,395,0.05906983699715867
晚唐,政治,255,0.03813369223867205
晚唐,哲理,231,0.03454463885150292
晚唐,咏史,169,0.025272917601315985
晚唐,边塞,158,0.023627934798863465
晚唐,游仙,110,0.016449828024525198
全唐,友情,9825,0.23136155983610418
全唐,自然,6921,0.16297744077615034
全唐,隐逸,6498,0.15301653087175623
全唐,社会现实,3780,0.08901238637969199
全唐,怀古,3033,0.07142184335703858
全唐,爱情,2580,0.06075448594169453
全唐,政治,2556,0.060189327932934585
全唐,咏物,1993,0.04693166297744077
全唐,咏史,1537,0.03619366081100174
全唐,边塞,1568,0.03692365657231668
全唐,哲理,1267,0.029835633212452316
全唐,游仙,908,0.021381811331418074
